,median
C19orf26,-0.0420272072329826
GPLD1,-0.20408721330431046
APOL6,-0.0766375131008363
KLHDC8A,-0.11094004998286766
MYH15,-0.12287671272365239
NKG7,-0.09522026192718805
PSMD3,-0.00474826216843285
LRTM2,-0.0032395172904505
KLRC2,-0.2569105960600485
APCDD1L,-0.15847348620468577
BRCC3,0.0026447065025789
LINC01121,-0.0012023063770825
MYH6,-0.10151914610684046
IFNG,-0.3099213840212688
WARS,-0.11315128306212545
LOC728175,-0.0081588191727956
LINC00632,-0.1037703361258848
RFPL4B,-0.110222289064636
OR4K1,-0.0230556363614505
ZIM3,-0.0090400048190245
IRX1,-0.2680448526680592
GIPC2,-0.17413558020503475
PSMA4,0.01177516907096615
SNORA48,-0.029740445132294853
ETV7,-0.10066368299022675
SGOL1,-0.09019103989761429
MIR503HG,-0.017168062588287
LSM3,-0.006180516841416401
CHRNB3,-0.0235986864684237
PLK1,0.08651753441189039
NOMO3,0.06236393211629785
LAG3,-0.07493188980479384
FANCI,0.01201699869860205
MRPL2,-0.0523820403643553
NEIL3,0.0196831811817638
HIRIP3,-0.05300363372906
SLC18A3,-0.061806842194217
LOC101927356,-0.0001475308783229
LINC01152,-0.0002128136567029
KIR2DL3,-0.02697246611908945
CSN1S1,-0.0669607345167493
ENOX2,-0.0254790234461037
SYNGR4,-0.05264234585102125
LOC81691,-0.08855840464635485
C1GALT1C1,0.02476920061379045
GAGE12B,-0.0066061862536556
LINC00958,-0.0865764525591813
HELT,-0.0042368222251848
LURAP1L,-0.0536128681795552
CXCR2,-0.1843077304239638
LOC101927102,-0.0054622280626032
FLJ42351,-0.0033592773915265
SOX4,0.01883427369694065
LOC101927476,-0.001188406323939
GCM2,-0.0134927324545968
BAIAP2L2,-0.4048173847737975
CEP85,0.018485154899794153
OR52A1,-0.0281378808403678
LOC102724050,-0.0005044825971123
OR8H1,-0.0111013972113858
RCCD1,-0.0139155323370964
SNAI1,-0.0897065831418756
LOC100289495,-0.0188491236976164
AARS2,-0.053897078656710506
ZDHHC22,-0.0083752220215673
CENPN,0.00788709213028865
LOC100507175,-0.0078040326600538
FBXO6,-0.04982346163208625
NFATC4,0.0237961963937398
RASSF10,-0.18260949793054643
PSMG4,-0.0230936899682749
RASGRF2-AS1,-0.0055557543026767
GPR150,-0.0214405729557662
CES5AP1,-0.0338689374783487
LOC101927865,-0.0072024109185842
RSPH9,-0.0544716109432804
LINC00982,-0.03734029061189385
F8A2,-0.0008985396005436
ACAD9,-0.02890902698343245
KRT18P55,-0.124565297131529
BEST2,-0.0700771664202436
SOX11,-0.10239292601332439
ADAM6,-0.0040226827286585
DKFZP434A062,-0.0015788182203859
KARS,-0.026352432963137398
CCDC59,-0.0418182725897278
ZNF683,-0.180229289998445
LOC730159,-0.0101383351497728
LOC100287225,-0.0043592779354626
TMEM204,-0.0562072690101653
PIANP,-0.0314311442481009
DIAPH3,0.038057300183548
NPVF,-0.0044183775495742
TMEM247,-0.0778693762970175
SLC35E4,-0.02361922450664835
SLC16A8,-0.0634428212646266
KIR3DL2,-0.11998315841965035
LOC101929555,-0.0009266623111041
STX17,0.0125771275267172
C2,0.0505304551048908
